Frame,cx,cy,w,h
25,0.724785924,0.357399285,0.015734494,0.029828787
26,0.716937423,0.336097389,0.015227795,0.028909385
27,0.721908152,0.338464469,0.015004754,0.028041482
28,0.724865913,0.338637114,0.014981627,0.027776927
29,0.716716528,0.322103381,0.014654756,0.027527183
30,0.716869473,0.326210558,0.014851391,0.027886003
31,0.713149071,0.326546997,0.014481783,0.027553141
33,0.707087755,0.331736207,0.014009058,0.025271684
34,0.706498861,0.339725256,0.014737904,0.027580649
217,0.011838067,0.658380151,0.021406749,0.040359378
219,0.265695274,0.693305254,0.025331646,0.04396981
220,0.144453406,0.728591919,0.031025797,0.052025437
372,0.403753281,0.184150249,0.015964866,0.026558772
405,0.63548553,0.231601685,0.017698824,0.029134244
513,0.023375437,0.544697523,0.023918392,0.043763936
514,0.295211434,0.556051016,0.025174618,0.044096172
515,0.484902322,0.619915605,0.025368184,0.047246397
516,0.286812842,0.91484046,0.030401021,0.049221337
517,0.166895568,0.795213461,0.024232298,0.046249807
518,0.057870008,0.718870521,0.03133725,0.053478062
915,0.265279979,0.615034223,0.026786983,0.047037125
916,0.29755646,0.65721184,0.025441408,0.044723511
917,0.334567398,0.714829803,0.027393997,0.045908868
918,0.364604473,0.767535329,0.023410857,0.041952789
919,0.396314979,0.837530851,0.023699462,0.04046005
920,0.4295564,0.915743053,0.027961791,0.048690677
922,0.487831175,0.961328745,0.027234465,0.040762067
923,0.508840203,0.93905431,0.029270053,0.046828032
924,0.531588078,0.930012763,0.027645826,0.047026753
925,0.557044864,0.921055555,0.028737128,0.047933161
926,0.579664707,0.919914007,0.032338798,0.053717434
927,0.605950534,0.919953942,0.030684352,0.054068565
928,0.631427705,0.924329877,0.031579256,0.054181874
929,0.656041443,0.938962221,0.032495499,0.05258441
930,0.679316401,0.959859729,0.032370746,0.051374435
931,0.707598329,0.981978953,0.028870225,0.042848706
933,0.757800937,0.985708892,0.02333051,0.030766368
934,0.781049848,0.984971523,0.023839593,0.03333813
935,0.807076097,0.988047719,0.023180604,0.034071505
936,0.831534505,0.984452963,0.02242738,0.030643404
989,0.456898868,0.122609079,0.022756726,0.036921345
990,0.464725196,0.134536445,0.026753694,0.045841023
991,0.49024114,0.202367112,0.027934372,0.04962334
992,0.481935024,0.268078536,0.027238518,0.050530449
993,0.447093129,0.207650408,0.019055754,0.032723576
994,0.325080156,0.122666001,0.026697695,0.047233216
1074,0.197460279,0.447826624,0.017808586,0.029731691
1223,0.166482031,0.558609784,0.024594128,0.041436195
1224,0.43084237,0.575317621,0.027611077,0.04883045
1225,0.63849932,0.549999952,0.028221488,0.050328672
1226,0.80297178,0.459907502,0.028083801,0.046995699
1227,0.943352818,0.37183708,0.029857218,0.051050693
1227,0.964587212,0.375457048,0.031429052,0.057268858
1247,0.367140412,0.483244658,0.016408592,0.031917721
1248,0.377713025,0.484549522,0.017018825,0.030532569
1269,0.78273952,0.677145958,0.016519547,0.031519115
1270,0.780813098,0.673197925,0.016683996,0.034146309
1271,0.778914094,0.671641231,0.017160714,0.034629345
1527,0.181550205,0.635639071,0.025482982,0.049606979
1528,0.481986225,0.64803493,0.029249698,0.044514835
1529,0.738538384,0.693376124,0.024040699,0.036640763
1544,0.8104164,0.558356583,0.024683833,0.047358036
1545,0.813169122,0.54463011,0.024912298,0.046611309
1546,0.817770958,0.53160429,0.02591455,0.047720015
1547,0.820147872,0.515030503,0.025197923,0.045104355
1548,0.823470294,0.499939233,0.025310636,0.043797433
1549,0.824692786,0.484416366,0.025742173,0.045484155
1550,0.827976942,0.469098747,0.024898469,0.044146419
1551,0.830496311,0.455658793,0.022363245,0.039916724
1552,0.833543599,0.440811694,0.020082116,0.035127491
1553,0.83262229,0.427403033,0.019595683,0.033061415
1558,0.869331479,0.297956526,0.020136654,0.035000592
1559,0.877678633,0.280392945,0.024533093,0.042230457
1560,0.907675624,0.30757308,0.026009142,0.047210634
1561,0.933791399,0.387111425,0.029013932,0.051776797
1562,0.926535726,0.451218486,0.028070748,0.046150595
1563,0.901000738,0.390393138,0.022337675,0.037919968
1564,0.815233707,0.272023261,0.025816798,0.045200586
1565,0.679422736,0.216888875,0.027346194,0.044402555
1566,0.525981545,0.168031707,0.027839005,0.047172815
1567,0.374279499,0.123828657,0.027454287,0.046540543
1568,0.218987644,0.085980438,0.026515722,0.045514554
1569,0.055875443,0.044866428,0.029717814,0.052827977
1581,0.471642256,0.406032026,0.01624608,0.029310375
1611,0.514375031,0.349226534,0.018055081,0.030808032
1675,0.54083699,0.423590004,0.017759323,0.030602723
1856,0.984015167,0.988090873,0.017742634,0.035611451
1862,0.372942448,0.762090504,0.024244428,0.042141795
1883,0.787871361,0.497975647,0.023279667,0.04159078
1884,0.789513409,0.487894297,0.023380637,0.042625517
1885,0.797465205,0.476535082,0.024213552,0.043018878
1886,0.806861639,0.460661858,0.024691224,0.043697774
1887,0.813492596,0.442721993,0.023442984,0.041119516
1888,0.820338786,0.433641016,0.02185607,0.036841899
1889,0.823360264,0.424971342,0.02289474,0.039461523
1890,0.82461226,0.418250263,0.02003032,0.035825878
1896,0.869427085,0.273275524,0.024249971,0.041700184
1897,0.89637959,0.295594513,0.026183784,0.045008272
1898,0.926422417,0.360676944,0.028980732,0.050217718
1900,0.901139617,0.395173073,0.025258958,0.043643147
1901,0.842523932,0.282018304,0.027609408,0.045140594
1902,0.720916808,0.217686176,0.026647687,0.045276478
1903,0.576701343,0.176470608,0.028949618,0.047126517
1904,0.438580185,0.138867244,0.026839972,0.047555387
1905,0.302352279,0.108164236,0.025419831,0.042750888
1906,0.159143627,0.074605763,0.024886712,0.045995269
1907,0.014246653,0.04936257,0.019812603,0.037007384
2001,0.470719606,0.361837208,0.016064644,0.030290127
2315,0.020380899,0.652175188,0.026316823,0.048350096
2316,0.285814345,0.656243801,0.030275553,0.048156917
2317,0.335116506,0.81266731,0.02121821,0.037858248
2317,0.341542393,0.793476582,0.022360861,0.03403312
2318,0.22062692,0.921032786,0.027890936,0.039039016
2319,0.108998194,0.82823348,0.024158902,0.041671574
2320,0.015377709,0.756103277,0.024987817,0.050660193
2769,0.470573276,0.640150905,0.028908372,0.045057595
2770,0.739217997,0.674578428,0.024348497,0.039833546
2770,0.720945656,0.663854539,0.027339458,0.040061235
2792,0.987337232,0.607197881,0.018448651,0.036067545
2793,0.985825419,0.598178744,0.021281064,0.039346099
2808,0.963093758,0.269258469,0.027330935,0.049291238
2809,0.839436531,0.201511651,0.026098192,0.041667119
2810,0.707260966,0.130051076,0.024869025,0.040259734
2811,0.568813801,0.062080093,0.027476549,0.048862297
2812,0.439894736,0.003847824,0.025030881,0.04179728
3123,0.04315209,0.690202594,0.026150482,0.04885906
3124,0.318077624,0.708818674,0.028061658,0.044268906
3126,0.700866342,0.786946356,0.028999805,0.056692004
3128,0.743318558,0.918668985,0.034087598,0.052897871
3529,0.821372747,0.93207407,0.030426383,0.039212823
3545,0.902919173,0.561226726,0.02186054,0.036449432
3546,0.901287675,0.54784143,0.024286807,0.042077661
3547,0.906876206,0.532011747,0.02387768,0.041688502
3548,0.912069798,0.513280928,0.019497335,0.031742305
3557,0.982145607,0.304917485,0.019467711,0.034201086
3562,0.940179706,0.289837629,0.028913319,0.044836462
3563,0.794937193,0.231571436,0.024969697,0.041310385
3564,0.611282825,0.190010563,0.026481569,0.042437881
3565,0.453351319,0.152576894,0.026103944,0.041359738
3566,0.27909261,0.121749908,0.02682665,0.045675419
3567,0.101471961,0.082570329,0.026581474,0.049144257
3957,0.952921093,0.85610038,0.023441672,0.04052031
3958,0.951781631,0.861115694,0.023772299,0.040506065
3959,0.948869109,0.860946298,0.024038255,0.041076362
3960,0.948294759,0.858515978,0.024128377,0.040866911
3961,0.948161602,0.85664922,0.024094105,0.040583849
3962,0.947593272,0.854299664,0.023702383,0.04012686
3963,0.947005987,0.85197866,0.022804439,0.038476408
3964,0.944534302,0.849471211,0.022716761,0.038760304
3965,0.940839887,0.8480708,0.023698509,0.040835261
3966,0.937906861,0.847533226,0.024242461,0.042092502
3967,0.934373021,0.846625566,0.025389731,0.044509768
3968,0.931580126,0.845949173,0.026021719,0.046469271
3969,0.926805079,0.838467836,0.030476213,0.056232929
3970,0.920484185,0.835366249,0.029419661,0.049868047
3971,0.91467768,0.824260533,0.024732232,0.043658018
3972,0.906712592,0.810705543,0.02322197,0.039705455
3975,0.871312737,0.743683934,0.022840798,0.041008055
3976,0.870604813,0.715443313,0.024601579,0.042288423
3976,0.605620861,0.235503957,0.018491805,0.029434472
3977,0.869819641,0.693800032,0.027164638,0.047955155
3977,0.603253126,0.236960381,0.018795609,0.030053958
3978,0.869035244,0.667982697,0.028204143,0.049477518
3979,0.868712842,0.643223882,0.028427958,0.05200994
3980,0.868314743,0.622294247,0.027682185,0.047680974
3980,0.59917891,0.214015409,0.018286288,0.030436456
3981,0.868157506,0.598849893,0.027103126,0.045388997
3982,0.867012382,0.575265884,0.022644699,0.037325799
3992,0.924326658,0.313880086,0.02095443,0.032874733
3993,0.949229836,0.298143387,0.025293887,0.040656418
3994,0.983706355,0.311831236,0.020443797,0.036851794
3998,0.91734761,0.265323758,0.028055906,0.044608563
3999,0.800838172,0.200443864,0.022772551,0.036840126
4000,0.664968073,0.140739709,0.023616791,0.037108466
4001,0.541473866,0.089268953,0.027401149,0.050395444
4002,0.414744049,0.039828327,0.027171791,0.049761619
4003,0.281867385,0.001269804,0.018036962,0.031765081
4250,0.131668329,0.678740084,0.0283226,0.045777321
4252,0.32627517,0.629041612,0.027881116,0.047146916
4253,0.189142853,0.514982224,0.027026474,0.048487484
4254,0.057734467,0.416382521,0.02836822,0.04597038
4255,0.477281094,0.492232263,0.016679823,0.029266208
4291,0.018929999,0.328060836,0.013870714,0.027862549